Frame,Visibility,X,Y,Hit,StartX,StartY,EndX,EndY
10452,0,0,0,False,,,,
10453,0,0,0,False,,,,
10454,0,0,0,False,,,,
10455,0,0,0,False,,,,
10456,0,0,0,False,,,,
10457,0,0,0,False,,,,
10458,0,0,0,False,,,,
10459,0,0,0,False,,,,
10460,0,0,0,False,,,,
10461,0,0,0,False,,,,
10462,0,0,0,False,,,,
10463,0,0,0,False,,,,
10464,0,0,0,False,,,,
10465,0,0,0,False,,,,
10466,0,0,0,False,,,,
10467,0,0,0,False,,,,
10468,0,0,0,False,,,,
10469,0,0,0,False,,,,
10470,0,0,0,False,,,,
10471,0,0,0,False,,,,
10472,0,0,0,False,,,,
10473,0,0,0,False,,,,
10474,0,0,0,False,,,,
10475,0,0,0,False,,,,
10476,0,0,0,False,,,,
10477,0,0,0,False,,,,
10478,1,612,382,True,,,568.0,328.0
10479,0,0,0,False,,,,
10480,1,608,352,False,,,,
10481,1,560,258,False,,,,
10482,1,598,308,False,,,,
10483,0,0,0,False,,,,
10484,0,0,0,False,,,,
10485,0,0,0,False,,,,
10486,0,0,0,False,,,,
10487,1,585,265,False,,,,
10488,1,580,257,False,,,,
10489,1,608,248,False,,,,
10490,0,0,0,False,,,,
10491,0,0,0,False,,,,
10492,0,0,0,False,,,,
10493,0,0,0,False,,,,
10494,1,570,258,False,,,,
10495,1,570,261,False,,,,
10496,1,567,265,True,568.0,328.0,828.0,580.0
10497,0,0,0,False,,,,
10498,0,0,0,False,,,,
10499,0,0,0,False,,,,
10500,1,627,212,False,,,,
10501,1,643,201,False,,,,
10502,1,653,191,False,,,,
10503,0,0,0,False,,,,
10504,1,677,178,False,,,,
10505,1,691,173,False,,,,
10506,1,701,171,False,,,,
10507,1,710,168,False,,,,
10508,1,721,171,False,,,,
10509,1,730,171,False,,,,
10510,1,738,173,False,,,,
10511,1,746,178,False,,,,
10512,1,756,183,False,,,,
10513,0,0,0,False,,,,
10514,1,771,201,False,,,,
10515,1,778,211,False,,,,
10516,1,786,223,False,,,,
10517,1,791,236,False,,,,
10518,1,798,246,False,,,,
10519,1,803,261,False,,,,
10520,1,811,281,False,,,,
10521,1,816,296,False,,,,
10522,1,821,316,False,,,,
10523,1,823,332,False,,,,
10524,1,828,353,False,,,,
10525,1,832,371,True,828.0,580.0,748.0,302.0
10526,0,0,0,False,,,,
10527,0,0,0,False,,,,
10528,1,803,288,False,,,,
10529,0,0,0,False,,,,
10530,1,793,273,False,,,,
10531,0,0,0,False,,,,
10532,1,786,258,False,,,,
10533,1,783,251,False,,,,
10534,1,780,248,False,,,,
10535,1,775,245,False,,,,
10536,1,771,242,False,,,,
10537,1,767,241,False,,,,
10538,1,763,241,False,,,,
10539,1,761,243,False,,,,
10540,1,758,246,False,,,,
10541,1,756,246,False,,,,
10542,1,751,253,False,,,,
10543,1,751,256,False,,,,
10544,1,750,261,False,,,,
10545,0,0,0,False,,,,
10546,0,0,0,False,,,,
10547,1,745,283,True,748.0,302.0,753.0,583.0
10548,0,0,0,False,,,,
10549,0,0,0,False,,,,
10550,1,756,227,False,,,,
10551,1,757,206,False,,,,
10552,0,0,0,False,,,,
10553,1,761,176,False,,,,
10554,1,765,165,False,,,,
10555,1,766,152,False,,,,
10556,1,767,142,False,,,,
10557,1,768,138,False,,,,
10558,1,771,131,False,,,,
10559,1,771,128,False,,,,
10560,1,771,126,False,,,,
10561,1,772,126,False,,,,
10562,0,0,0,False,,,,
10563,1,773,128,False,,,,
10564,1,773,131,False,,,,
10565,1,772,136,False,,,,
10566,1,772,142,False,,,,
10567,1,772,151,False,,,,
10568,1,771,157,False,,,,
10569,1,768,171,False,,,,
10570,1,767,183,False,,,,
10571,0,0,0,False,,,,
10572,1,765,211,False,,,,
10573,1,762,227,False,,,,
10574,1,761,241,False,,,,
10575,1,758,261,False,,,,
10576,1,756,281,False,,,,
10577,1,756,300,False,,,,
10578,1,752,320,False,,,,
10579,1,751,341,False,,,,
10580,1,748,363,False,,,,
10581,1,746,386,False,,,,
10582,1,746,405,True,753.0,583.0,775.0,328.0
10583,1,753,366,False,,,,
10584,0,0,0,False,,,,
10585,1,757,312,False,,,,
10586,1,761,293,False,,,,
10587,1,763,281,False,,,,
10588,1,765,271,False,,,,
10589,1,766,261,False,,,,
10590,0,0,0,False,,,,
10591,1,648,283,False,,,,
10592,1,653,283,False,,,,
10593,1,771,246,False,,,,
10594,1,771,246,False,,,,
10595,1,771,247,False,,,,
10596,1,772,251,False,,,,
10597,1,775,252,False,,,,
10598,1,773,257,False,,,,
10599,1,776,261,False,,,,
10600,1,776,267,False,,,,
10601,1,776,273,False,,,,
10602,1,776,281,False,,,,
10603,1,777,288,False,,,,
10604,1,777,297,False,,,,
10605,1,778,308,True,775.0,328.0,784.0,403.0
10606,1,786,296,False,,,,
10607,1,786,283,False,,,,
10608,0,0,0,False,,,,
10609,1,793,263,False,,,,
10610,1,793,258,False,,,,
10611,1,796,252,False,,,,
10612,1,796,246,False,,,,
10613,1,797,241,False,,,,
10614,1,796,241,False,,,,
10615,0,0,0,False,,,,
10616,0,0,0,False,,,,
10617,1,796,242,False,,,,
10618,1,796,245,False,,,,
10619,1,796,246,False,,,,
10620,1,796,253,False,,,,
10621,1,796,261,False,,,,
10622,1,795,266,False,,,,
10623,1,792,275,False,,,,
10624,1,791,285,False,,,,
10625,1,790,296,False,,,,
10626,1,788,306,False,,,,
10627,1,787,318,False,,,,
10628,1,786,331,False,,,,
10629,0,0,0,False,,,,
10630,0,0,0,True,784.0,403.0,760.0,266.0
10631,0,0,0,False,,,,
10632,1,786,235,False,,,,
10633,1,785,170,False,,,,
10634,1,786,115,False,,,,
10635,1,786,68,False,,,,
10636,1,686,312,False,,,,
10637,1,786,6,False,,,,
10638,0,0,0,False,,,,
10639,0,0,0,False,,,,
10640,0,0,0,False,,,,
10641,0,0,0,False,,,,
10642,0,0,0,False,,,,
10643,0,0,0,False,,,,
10644,0,0,0,False,,,,
10645,0,0,0,False,,,,
10646,0,0,0,False,,,,
10647,1,668,242,False,,,,
10648,0,0,0,False,,,,
10649,0,0,0,False,,,,
10650,0,0,0,False,,,,
10651,0,0,0,False,,,,
10652,0,0,0,False,,,,
10653,0,0,0,False,,,,
10654,0,0,0,False,,,,
